Work Group,Location Name,Completed Date,Street Segment IDs
LONG LINE,  W 7TH ST from   WEST LN  to   <br />GUADALUPE ST ,6/19/2018 4:48," W 7TH ST (2018579)
 W 7TH ST (2018551)
 W 7TH ST (2018523)
 W 7TH ST (3291576)"
LONG LINE,  W 8TH ST from   WEST AVE  to   <br />GUADALUPE ST ,6/19/2018 5:02," W 8TH ST (2018501)
 W 8TH ST (2018487)
 W 8TH ST (2018469)"
LONG LINE,  W 9TH ST from   N LAMAR BLVD  to   <br />CONGRESS AVE ,6/19/2018 5:30," W 9TH ST (2019761)
 W 9TH ST (2018403)
 W 9TH ST (2018458)
 W 9TH ST (2018436)
 W 9TH ST (2018518)
 W 9TH ST (2018491)
 W 9TH ST (2018480)
 W 9TH ST (2041095)"
LONG LINE,  W 10TH ST from   BAYLOR ST  to   <br />CONGRESS AVE ,6/19/2018 5:46," W 10TH ST (2019766)
 W 10TH ST (2019739)
 W 10TH ST (2019738)
 W 10TH ST (2018366)
 W 10TH ST (2018453)
 W 10TH ST (2018428)
 W 10TH ST (2018411)
 W 10TH ST (2041078)"
LONG LINE,  RIO GRANDE ST from   W 5TH ST  to   <br />W 12TH ST ,6/21/2018 21:19," RIO GRANDE ST (2018402)
 RIO GRANDE ST (2018349)
 RIO GRANDE ST (2018297)
 RIO GRANDE ST (2018468)
 RIO GRANDE ST (2018603)
 RIO GRANDE ST (2018522)"
LONG LINE,  NUECES ST from   W 5TH ST  to   <br />W 12TH ST ,6/21/2018 21:46," NUECES ST (2018420)
 NUECES ST (2018365)
 NUECES ST (2018622)
 NUECES ST (2018695)
 NUECES ST (2018550)
 NUECES ST (2018486)"
LONG LINE,  SAN ANTONIO ST from   W CESAR CHAVEZ ST  to   <br />W 12TH ST ,6/22/2018 6:10," SAN ANTONIO ST (2018852)
 SAN ANTONIO ST (2019927)
 SAN ANTONIO ST (2019737)
 SAN ANTONIO ST (2018994)
 SAN ANTONIO ST (2018922)
 SAN ANTONIO ST (2018784)
 SAN ANTONIO ST (2018719)
 SAN ANTONIO ST (2018642)
 SAN ANTONIO ST (2018578)
 SAN ANTONIO ST (2018500)"
LONG LINE,  W 11TH ST from   W 12TH ST  to   <br />N IH 35 SB ,6/22/2018 6:12," W 11TH ST (2018391)
 W 12TH ST (2018307)
 W 12TH ST (2018289)
 W 12TH ST (2018201)
 E 11TH ST (2018450)
 E 11TH ST (2018430)
 E 11TH ST (2018415)
 W 12TH ST (2018276)
 W 12TH ST (2018237)
 W 12TH ST (2018216)
 E 11TH ST (2018525)
 W 12TH ST (2037558)
 W 12TH ST (2037557)
 W 12TH ST (2037556)
 W 12TH ST (2037555)
 W 12TH ST (2037554)
 W 12TH ST (2037553)
 E 11TH ST (2041125)
 E 11TH ST (2041121)"
LONG LINE,  LAVACA ST from   W CESAR CHAVEZ ST  to   <br />W 11TH ST ,6/22/2018 6:30," LAVACA ST (2018964)
 LAVACA ST (2018410)
 LAVACA ST (2018821)
 LAVACA ST (2018754)
 LAVACA ST (2018680)
 LAVACA ST (2018614)
 LAVACA ST (2019030)
 LAVACA ST (2018538)
 LAVACA ST (2018479)"
LONG LINE,  E 3RD ST from   NUECES ST  to   <br />CONGRESS AVE ,6/22/2018 6:41," W 3RD ST (2018893)
 W 3RD ST (2018878)
 W 3RD ST (2018853)
 W 3RD ST (2018921)"
LONG LINE,  PEARCE RD from   CITY PARK RD  to   <br />CITY PARK RD ,6/25/2018 22:01," PEARCE RD (2047855)
 PEARCE RD (2047854)
 PEARCE RD (2046097)
 PEARCE RD (2042836)
 PEARCE RD (2013466)
 PEARCE RD (2013581)
 PEARCE RD (2013501)
 PEARCE RD (3358356)
 PEARCE RD (3358355)
 PEARCE RD (3353237)
 PEARCE RD (3353214)
 PEARCE RD (3335472)
 PEARCE RD (3335471)
 PEARCE RD (3194671)
 PEARCE RD (3194668)
 PEARCE RD (3194667)"
LONG LINE,  CITY PARK RD from   PEARCE RD  to 4200  <br />CITY PARK RD ,6/25/2018 22:04, PEARCE RD (3194668)
LONG LINE,  NAVASOTA ST from   E 5TH ST  to   <br />E 4TH ST ,6/26/2018 1:33, NAVASOTA ST (2043965)
